country,continent,gdp_per_capita,life_expectancy,population,gdp
Afghanistan,Asia,663,54.863,22856302,15153728226
Albania,Europe,4195,74.2,3071856,12886435920
Algeria,Africa,5098,68.96300000000001,30533827,155661450046
Angola,Africa,2446,45.234,13926373,34063908358
Antigua and Barbuda,N. America,12738,73.544,77656,989182128
Argentina,S. America,10571,73.822,36930709,390394524839
Armenia,Europe,2114,71.494,3076098,6502871172
Australia,Oceania,29241,79.93,19164351,560384787591
Austria,Europe,32008,78.33,8004712,256214821696
Azerbaijan,Europe,2533,66.851,8110723,20544461359
Bahamas,N. America,22728,72.37,297651,6765011928
Bahrain,Asia,22015,74.497,638193,14049818895
Bangladesh,Asia,1075,65.309,129592275,139311695625
Barbados,N. America,14982,73.118,267511,4007849802
Belarus,Europe,5936,68.99,10057810,59703160160
Belgium,Europe,29940,77.91,10175684,304659978960
Belize,N. America,6545,70.425,250512,1639601040
Benin,Africa,1307,55.261,6517810,8518777670
Bhutan,Asia,2922,60.307,571262,1669227564
Bolivia,S. America,3394,62.994,8307248,28194799712
Bosnia and Herzegovina,Europe,5733,74.882,3693698,21175970634
Botswana,Africa,10107,50.567,1757925,17767347975
Brazil,S. America,8056,70.26100000000001,174425387,1405170917672
Brunei,Asia,48020,75.92699999999998,327036,15704268720
Bulgaria,Europe,6907,71.59,8006158,55298533306
Burkina Faso,Africa,1001,50.589,12294012,12306306012
Burundi,Africa,443,48.25100000000001,6374347,2823835721
Cambodia,Asia,982,62.03,12446949,12222903918
Cameroon,Africa,1803,51.96,15678269,28267919007
Canada,N. America,32448,79.41,30667365,995094659520
Cape Verde,Africa,2291,69.835,437238,1001712258
Central African Rep.,Africa,762,43.727,3701607,2820624534
Chad,Africa,1017,46.708,8222327,8362106559
Chile,S. America,10435,77.01,15419820,160905821700
China,Asia,3407,72.124,1269116737,4323880722959
Colombia,S. America,5749,71.02600000000002,39764166,228604190334
Comoros,Africa,1090,57.9,562469,613091210
"Congo, Dem. Rep.",Africa,292,46.387,49626200,14490850400
"Congo, Rep.",Africa,3423,52.326,3135773,10733750979
Costa Rica,N. America,7672,77.721,3919180,30067948960
Cote d'Ivoire,Africa,1746,46.429,16581653,28951566138
Croatia,Europe,10582,74.798,4505533,47677550206
Cuba,N. America,6115,76.684,11104313,67902873995
Cyprus,Europe,22821,78.01100000000002,943294,21526912374
Czech Rep.,Europe,16823,75.05,10242890,172316138470
Denmark,Europe,31805,76.9,5339501,169822829305
Djibouti,Africa,1894,57.023,731930,1386275420
Dominican Rep.,N. America,4350,70.553,8591967,37375056450
Ecuador,S. America,5616,73.35300000000002,12345023,69329649168
Egypt,Africa,4629,68.632,67648419,313144531551
El Salvador,N. America,5341,69.715,5940305,31727169005
Equatorial Guinea,Africa,5240,47.723,520380,2726791200
Eritrea,Africa,741,56.131,3667576,2717673816
Estonia,Europe,11244,70.8,1370749,15412701756
Ethiopia,Africa,512,52.245,65577897,33575883264
Fiji,Oceania,3856,67.553,811718,3129984608
Finland,Europe,27171,77.76,5173370,140565636270
France,Europe,28636,79.23,59047795,1690892657620
Gabon,Africa,12764,59.744,1235274,15767037336
Gambia,Africa,687,55.115,1297084,891096708
Georgia,Europe,2332,71.839,4745765,11067123980
Germany,Europe,29726,78.14127463,82349027,2447907176602
Ghana,Africa,1067,56.996,19165490,20449577830
Greece,Europe,20675,78.535,10986883,227153806025
Greenland,N. America,33204,67.03,56196,1865931984
Grenada,N. America,8655,70.34100000000001,101522,878672910
Guatemala,N. America,4884,67.768,11237101,54882001284
Guinea,Africa,906,51.257,8344486,7560104316
Guinea-Bissau,Africa,632,51.468,1240655,784093960
Guyana,S. America,3141,63.29,733101,2302670241
Haiti,N. America,1344,57.46,8645371,11619378624
Honduras,N. America,3093,70.482,6218151,19232741043
"Hong Kong, China",Asia,29972,80.361,6783317,203309577124
Hungary,Europe,13592,71.86,10210545,138781727640
Iceland,Europe,31092,79.72,281210,8743381320
India,Asia,1648,62.129,1053898107,1736824080336
Indonesia,Asia,2714,67.289,213395411,579155145454
Iran,Asia,8600,69.611,65342319,561943943400
Iraq,Asia,3951,70.845,23857458,94260816558
Ireland,Europe,30827,76.66,3803780,117259126060
Israel,Asia,22834,78.75,6014953,137345436802
Italy,Europe,27160,79.73,56986329,1547748695640
Jamaica,N. America,6934,70.479,2581648,17901147232
Japan,Asia,28559,81.35,125720310,3590446333290
Jordan,Asia,3664,71.72399999999998,4827096,17686479744
Kazakhstan,Asia,5366,63.51300000000001,14956694,80257620004
Kenya,Africa,1318,52.864,31253701,41192377918
Kiribati,Oceania,3501,64.642,84010,294119010
"Korea, Dem. Rep.",Asia,1689,65.271,22894095,38668126455
"Korea, Rep.",Asia,16995,76.11399999999998,45987624,781559669880
Kuwait,Asia,36397,73.133,1940786,70638788042
Kyrgyzstan,Asia,1527,66.232,4954850,7566055950
Laos,Asia,1518,61.68899999999999,5317060,8071297080
Latvia,Europe,8649,70.16,2384972,20627622828
Lebanon,Asia,5795,74.40899999999998,3742329,21686796555
Lesotho,Africa,1186,47.265,1963878,2329159308
Liberia,Africa,519,52.424,2847290,1477743510
Libya,Africa,9139,71.872,5231189,47807836271
Lithuania,Europe,9631,72.18,3500028,33708769668
Luxembourg,Europe,63924,77.82,435491,27838326684
"Macao, China",Asia,22512,77.627,431867,9722189904
"Macedonia, FYR",Europe,6975,73.244,2009091,14013409725
Madagascar,Africa,1027,58.485,15364272,15779107344
Malawi,Africa,713,46.04,11228756,8006103028
Malaysia,Asia,10161,72.81,23414909,237918890349
Maldives,Asia,3433,69.279,273236,938019188
Mali,Africa,854,49.06100000000001,11295324,9646206696
Malta,Europe,20276,77.36399999999998,397420,8058087920
Mauritania,Africa,1540,59.729,2642743,4069824220
Mauritius,Africa,8290,71.202,1196027,9915063830
Mexico,N. America,10894,74.38,99959594,1088959817036
"Micronesia, Fed. Sts.",Oceania,5530,67.3,107103,592279590
Moldova,Europe,1692,67.007,4106736,6948597312
Mongolia,Asia,2017,62.87600000000001,2411369,4863731273
Montenegro,Europe,6185,74.125,632606,3912668110
Morocco,Africa,3073,68.22,28793236,88481614228
Mozambique,Africa,542,47.472,18200656,9864755552
Myanmar,Asia,1034,62.073,44957660,46486220440
Namibia,Africa,4022,55.173,1895839,7625064458
Nepal,Asia,1054,62.055,24400606,25718238724
Netherlands,Europe,33000,78.24,15862825,523473225000
New Zealand,Oceania,21895,78.9,3858032,84471610640
Nicaragua,N. America,2490,69.682,5073704,12633522960
Niger,Africa,577,50.692,10922421,6302236917
Nigeria,Africa,1619,46.629,123688536,200251739784
Norway,Europe,43174,78.76,4490859,193888346466
Oman,Asia,19204,72.139,2264163,43480986252
Pakistan,Asia,2086,63.854,144522192,301473292512
Panama,N. America,7405,75.094,2956126,21890113030
Papua New Guinea,Oceania,1821,58.749,5378824,9794838504
Paraguay,S. America,3907,70.07300000000001,5343539,20877206873
Peru,S. America,5791,70.506,25861887,149766187617
Philippines,Asia,2598,66.774,77309965,200851289070
Poland,Europe,11680,73.91,38302444,447372545920
Portugal,Europe,19609,76.84,10336209,202682722281
Qatar,Asia,60394,76.68,590957,35690257058
Romania,Europe,7089,70.47,22191683,157316840787
Russia,Asia,8570,65.38,146757517,1257711920690
Rwanda,Africa,704,47.6425,8098344,5701234176
Saint Lucia,N. America,8676,71.456,157108,1363069008
Saint Vincent and the Grenadines,N. America,5893,70.6,107891,635801663
Samoa,Oceania,4090,69.344,176549,722085410
Sao Tome and Principe,Africa,1320,63.33600000000001,141010,186133200
Saudi Arabia,Asia,20001,72.40100000000002,20045276,400925565276
Senegal,Africa,1511,57.817,9505862,14363357482
Serbia,Europe,6607,72.072,10133561,66952437527
Seychelles,Africa,15230,71.771,78685,1198372550
Sierra Leone,Africa,517,38.12300000000001,4143115,2141990455
Singapore,Asia,36834,78.34,3919300,144363496200
Slovak Republic,Europe,12689,73.19,5404845,68582078205
Slovenia,Europe,19399,76.11,1985406,38514890994
Solomon Islands,Oceania,1802,62.808,408732,736535064
Somalia,Africa,881,50.902,7399033,6518548073
South Africa,Africa,7454,55.892,44760380,333643872520
South Sudan,Africa,1883,49.24800000000001,6994624,13170876992
Spain,Europe,23410,79.34,40288457,943152778370
Sri Lanka,Asia,2997,71.078,18745084,56179016748
Sudan,Africa,1874,57.979,27193105,50959878770
Suriname,S. America,5677,67.851,466846,2650284742
Swaziland,Africa,4021,48.68899999999999,1063832,4277668472
Sweden,Europe,28640,79.84,8860153,253754781920
Switzerland,Europe,34386,79.99,7167908,246475684488
Syria,Asia,3935,73.316,15988534,62914881290
Taiwan,Asia,23525,76.02,22183000,521855075000
Tajikistan,Asia,1001,63.57,6172807,6178979807
Tanzania,Africa,826,50.01,34038161,28115520986
Thailand,Asia,5578,70.921,63155029,352278751762
Timor-Leste,Asia,2743,59.468,830089,2276934127
Togo,Africa,890,53.585,4793504,4266218560
Tonga,Oceania,4886,70.81,97935,478510410
Trinidad and Tobago,N. America,10496,68.533,1292058,13561440768
Tunisia,Africa,5480,73.15899999999998,9456117,51819521160
Turkey,Asia,6803,70.01,63627862,432860345186
Turkmenistan,Asia,3289,63.925,4501419,14805167091
Uganda,Africa,881,48.12600000000001,24213120,21331758720
Ukraine,Europe,3700,67.79,48891792,180899630400
United Arab Emirates,Asia,30012,74.163,3033491,91041131892
United Kingdom,Europe,28644,78.04,58874117,1686390207348
United States,N. America,39758,76.8,282496310,11231488292980
Uruguay,S. America,9092,74.777,3319066,30176948072
Uzbekistan,Asia,1635,66.999,24775610,40508122350
Vanuatu,Oceania,3762,67.438,185074,696248388
Venezuela,S. America,9434,72.432,24348304,229701899936
Vietnam,Asia,1577,73.777,78758010,124201381770
West Bank and Gaza,Asia,7586,70.929,3198560,24264276160
"Yemen, Rep.",Asia,2217,60.404,17723186,39292303362
Zambia,Africa,1035,41.802,10201562,10558616670
Zimbabwe,Africa,745,43.976000000000006,12509477,9319560365
